Date,vix_level,vix_change_5d,spx_realized_vol_21d,vvix_level,credit_spread_high_yield,credit_spread_change_21d,yield_curve_slope_10y_2y,term_structure_ratio_1_0,term_structure_slope_2_1,Panic_Imminent_21d
2006-03-06,12.74,0.0992234685073338,0.0927128630133852,71.73,0.0326,-0.0355029585798817,-0.0003,0.9686028257456828,0.5099999999999998,0
2006-03-15,11.35,-0.0787337662337662,0.091339277957545,15.71,0.0329,-0.0208333333333332,0.0004,1.0114537444933922,1.1799999999999995,0
2006-03-16,11.98,-0.0552050473186119,0.0859927371604439,27.94,0.0334,0.0060240963855422,0.0003,0.9557595993322204,1.0,0
2006-03-17,12.12,0.0227848101265821,0.0855658672259672,28.6,0.0331,0.006079027355623,0.0003,0.962046204620462,0.8100000000000005,1
2006-03-20,11.79,0.0369393139841689,0.082842929369883,37.93,0.033,0.0,0.0001,0.9754028837998304,1.0599999999999987,1
2006-03-21,11.62,0.0819366852886405,0.0856669966039719,37.35,0.0321,-0.0272727272727272,-0.0001,0.9922547332185888,1.0900000000000016,1
2006-04-11,13.0,0.1669658886894074,0.0846225096548242,69.55,0.0311,-0.0489296636085627,0.0005,0.97,0.2599999999999998,1
2006-04-24,11.75,-0.0659777424483306,0.092047622479196,63.42,0.030600000000000002,-0.0526315789473683,0.001,1.0714893617021275,0.3200000000000003,1
2006-04-25,11.75,0.0307017543859648,0.0936746341321657,61.33,0.0298,-0.0658307210031348,0.0012,1.0714893617021275,0.200000000000001,1
2006-05-01,12.54,0.0672340425531914,0.089090658891665,61.96,0.0296,-0.0420711974110031,0.002,0.9992025518341308,0.120000000000001,1
2006-05-22,17.72,0.3058216654384671,0.1029001599294251,91.76,0.0315,0.0294117647058822,0.001,0.8939051918735892,-0.7200000000000006,1
2006-05-23,18.26,0.3677902621722848,0.1032609841711757,88.66,0.031200000000000002,0.0469798657718121,0.001,0.8603504928806133,-0.7999999999999989,1
2006-05-24,17.36,0.067650676506765,0.1033479724375903,88.63,0.0318,0.0707070707070707,0.0009,0.9326036866359448,-0.9500000000000012,1
2006-05-25,15.5,-0.0876986462625072,0.1117670480968374,82.64,0.0313,0.0433333333333332,0.0009,0.9935483870967742,-0.3499999999999996,1
2006-05-26,14.26,-0.169965075669383,0.1132880848380416,72.5,0.031200000000000002,0.04,0.001,1.0448807854137447,-0.0800000000000018,1
2006-05-30,18.66,0.0530474040632054,0.1242186199363451,82.14,0.031,0.0472972972972973,0.001,0.8756698821007503,-0.3000000000000007,1
2006-05-31,16.44,-0.0996714129244249,0.1285761380519377,77.44,0.031200000000000002,0.0505050505050503,0.0008,0.9671532846715328,-0.0199999999999995,1
2006-06-01,14.52,-0.1635944700460829,0.134605757156928,74.08,0.0313,0.064625850340136,0.0007000000000000001,1.0420110192837466,0.2199999999999988,1
2006-06-02,14.32,-0.0761290322580644,0.134489318050508,70.27,0.0322,0.0989761092150169,0.0008,1.0286312849162011,0.25,1
2006-06-05,16.65,0.1676016830294528,0.1461162948468268,77.38,0.0319,0.0777027027027026,0.0003,0.9531531531531532,-0.2799999999999993,1
2006-06-06,17.34,-0.0707395498392282,0.1395313071095607,78.66,0.032400000000000005,0.1020408163265307,0.0002,0.9411764705882352,-0.4399999999999995,1
2006-06-07,17.8,0.0827250608272505,0.140039491607709,73.86,0.0322,0.1027397260273974,0.0,0.936516853932584,-0.3199999999999967,1
2006-06-08,18.35,0.2637741046831956,0.1403607964450033,78.12,0.0326,0.1241379310344827,-0.0001,0.9335149863760218,-0.2200000000000024,1
2006-06-09,18.12,0.2653631284916202,0.1405001190143764,79.87,0.0327,0.1354166666666667,-0.0003,0.9619205298013244,-0.4100000000000001,1
2006-06-12,20.96,0.2588588588588589,0.1404058529992855,83.52,0.0325,0.1284722222222223,-0.0003,0.8687977099236641,-0.6400000000000006,1
