date,VIX Change 5D
1996-01-02,
1996-01-03,
1996-01-04,
1996-01-05,
1996-01-08,
1996-01-09,0.2477440525020509
1996-01-10,0.39504132231404965
1996-01-11,0.11901306240928888
1996-01-12,0.12665684830633284
1996-01-15,0.14340198321891684
1996-01-16,-0.07363576594345833
1996-01-17,-0.1558056872037914
1996-01-18,-0.11932555123216604
1996-01-19,-0.16993464052287588
1996-01-22,-0.11007338225483654
1996-01-23,-0.03761533002129169
1996-01-24,-0.1200000000000001
1996-01-25,-0.04712812960235646
1996-01-26,-0.055118110236220375
1996-01-29,-0.0862068965517242
1996-01-30,-0.08407079646017701
1996-01-31,-0.0007974481658692412
1996-02-01,-0.022411128284389403
1996-02-02,0.10250000000000004
1996-02-05,0.10418375717801487
1996-02-06,0.17471819645732678
1996-02-07,0.12609736632083002
1996-02-08,0.09802371541501986
1996-02-09,0.10582010582010581
1996-02-12,0.09138187221396721
1996-02-13,0.17340644276902006
1996-02-14,0.10489014883061665
1996-02-15,0.16126709863210942
1996-02-16,0.05058099794941895
1996-02-20,0.1436351259360109
1996-02-21,-0.15478971962616828
1996-02-22,-0.06606799230275817
1996-02-23,-0.0836949783013019
1996-02-26,0.06571242680546518
1996-02-27,-0.010119047619047694
1996-02-28,0.15549412577747046
1996-02-29,0.17032967032967017
1996-03-01,0.13125845737483077
1996-03-04,0.017704517704517864
1996-03-05,-0.03187011425135289
1996-03-06,-0.009569377990430672
1996-03-07,-0.03227699530516437
1996-03-08,0.23803827751196183
1996-03-11,0.21955608878224342
1996-03-12,0.1857142857142855
1996-03-13,0.09480676328502424
1996-03-14,0.02668283808368721
1996-03-15,-0.20096618357487928
1996-03-18,-0.14854894244958194
1996-03-19,-0.03876375065479298
1996-03-20,0.02923331494760073
1996-03-21,0.047844063792084945
1996-03-22,0.030834340991535703
1996-03-25,0.030618139803581856
1996-03-26,-0.02997275204359673
1996-03-27,-0.0412647374062165
1996-03-28,0.02367531003382206
1996-03-29,0.1073313782991201
1996-04-01,0.0033632286995515237
1996-04-02,-0.07584269662921361
1996-04-03,-0.08719955282280611
1996-04-04,-0.1090308370044053
1996-04-08,-0.008474576271186418
1996-04-09,-0.03240223463687142
1996-04-10,0.22917933130699097
1996-04-11,0.20330679730557266
1996-04-12,0.07416563658838071
1996-04-15,-0.10096153846153855
1996-04-16,-0.05023094688221719
1996-04-17,-0.15578635014836784
1996-04-18,-0.16488549618320603
1996-04-19,-0.1300345224395857
1996-04-22,-0.08615567439096838
1996-04-23,-0.08753799392097261
1996-04-24,-0.12653778558875217
1996-04-25,-0.10298598415600235
1996-04-26,-0.02447089947089942
1996-04-29,0.004551365409622754
1996-04-30,0.054630246502331836
1996-05-01,0.07780013413816222
1996-05-02,0.2649456521739131
1996-05-03,0.1322033898305084
1996-05-06,0.09514563106796126
1996-05-07,0.06569804169298799
1996-05-08,-0.018046048537647796
1996-05-09,-0.08754027926960273
1996-05-10,-0.06526946107784426
1996-05-13,-0.10401891252955087
1996-05-14,-0.11677534084173091
1996-05-15,-0.012040557667934104
1996-05-16,-0.07533843437316057
1996-05-17,-0.030749519538757153
1996-05-20,0.04221635883905006
1996-05-21,0.0738255033557047
1996-05-22,-0.0057729313662604476
1996-05-23,0.029280712921705865
1996-05-24,0.0270984798413747
1996-05-28,0.07088607594936724
1996-05-29,0.07187499999999991
1996-05-30,0.0335483870967741
1996-05-31,-0.006184291898577721
1996-06-03,0.084942084942085
1996-06-04,-0.043735224586288535
1996-06-05,-0.06472303206997077
1996-06-06,0.051186017478152435
1996-06-07,0.0018668326073429942
1996-06-10,-0.00474495848161316
1996-06-11,0.030902348578492056
1996-06-12,0.05985037406483795
1996-06-13,0.016627078384798155
1996-06-14,0.1577639751552795
1996-06-17,0.040524433849821184
1996-06-18,0.04616306954436444
1996-06-19,0.03176470588235292
1996-06-20,-0.008761682242990787
1996-06-21,-0.1523605150214592
1996-06-24,-0.08877434135166096
1996-06-25,-0.11575931232091685
1996-06-26,-0.13169897377423023
1996-06-27,-0.16381850324101355
1996-06-28,-0.13417721518987347
1996-07-01,-0.1338780641106223
1996-07-02,-0.08036292935839273
1996-07-03,-0.06697307944845698
1996-07-05,0.13389711064129672
1996-07-08,0.20029239766081885
1996-07-09,0.12409288824383169
1996-07-10,0.09302325581395343
1996-07-11,0.25334271639690353
1996-07-12,0.062150403977625945
1996-07-15,0.22472594397076717
1996-07-16,0.2976113621691414
1996-07-17,0.23920051579626045
1996-07-18,0.006737787759685698
1996-07-19,0.009947337624341746
1996-07-22,0.014917951268025975
1996-07-23,0.07213930348258701
1996-07-24,0.11550468262226854
